Account Number,Invoice Number,Invoice Date,Tracking Number,Pickup Number,Reference Number 1,Reference Number 2,Reference Number 3,Reference Number 4,Reference Number 5,Shipping System / Adjustment,Zone,Service Type,Published Charge,Incentives,Net Amount Due
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Shipping Charge Corrections,,,,,$3.99 
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Worldwide Service,,,,,$115.76 
0000084VF3,000000084VF3492,3-Dec-22,,,,,,,,Adjustments,,,,,$1.00 
0000084VF3,000000084VF3492,3-Dec-22,1Z084VF36608499337,,F23,7830-00-1000,,,,Worldwide Service,901,Worldwide Express,$158.41 ,($100.26),$58.15 
0000084VF3,000000084VF3492,3-Dec-22,1Z084VF30496246551,,F23,7830-00-1000,,,,Worldwide Service,401,Worldwide Saver,$156.59 ,($98.98),$57.61 
0000084VF3,000000084VF3492,3-Dec-22,1Z084VF36608499337,,F23,7830-00-1000,,,,Shipping Charge Corrections,901,Express,$43.56 ,($39.57),$3.99 
0000084VF3,000000084VF3502,10-Dec-22,,,,,,,,Worldwide Service,,,,,$107.36 
0000084VF3,000000084VF3502,10-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3502,10-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3502,10-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3502,10-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3502,10-Dec-22,,,,,,,,Outbound,,,,,
0000084VF3,000000084VF3502,10-Dec-22,1Z084VF36699907171,,F23,7830-00-1000,,,,Worldwide Service,901,Worldwide Express,$136.56 ,($86.81),$49.75 
0000084VF3,000000084VF3502,10-Dec-22,1Z084VF30407949147,,F23,7830-00-1000,,,,Worldwide Service,401,Worldwide Saver,$156.59 ,($98.98),$57.61 
0000084VF3,1623620241,28-Nov-22,,,,,,,,Discounts,,,,,
0000084VF3,1623620241,28-Nov-22,,,,,,,,Discounts,,,,,
0000084VF3,1623620241,28-Nov-22,,,,,,,,Discounts,,,,,
0000084VF3,1623620241,28-Nov-22,,,,,,,,Consignee Charges,,,,,$906.49 
0000084VF3,1623620241,28-Nov-22,,,,,,,,Discounts,,,,,($398.55)
0000084VF3,1623620241,28-Nov-22,1ZE947W00492520415,,PROFORMA 96,,,,,Import Shipment Detail,451,WW Saver,$293.34 ,$210.53 ,$82.81 
0000084VF3,1623620241,28-Nov-22,H9518301153,,,,,,,Import Shipment Detail,951,WW Express Plus,$351.30 ,$0.00 ,$351.30 
0000084VF3,1623620241,28-Nov-22,1Z49E4Y70494836536,,,,,,,Import Shipment Detail,451,WW Saver,$261.85 ,$188.02 ,$73.83 
0000084VF3,1624230714,30-Nov-22,,,,,,,,Brokerage Charges,,,,,$12.00 
0000084VF3,1624230714,30-Nov-22,,,,,,,,US Customs Duties,,,,,$155.56 
0000084VF3,1624230714,30-Nov-22,M2417710551,,,,,,,Import Shipment Detail,951,WW Express,$167.56 ,$0.00 ,$167.56 
0000084VF3,1624401904,30-Nov-22,,,,,,,,Brokerage Charges,,,,,$34.56 
0000084VF3,1624401904,30-Nov-22,,,,,,,,Government Charges,,,,,$94.56 
0000084VF3,1624401904,30-Nov-22,1Z084VF36695076335,,F23,7830-00-1000,,,,Import Shipment Detail,901,WW Express,$75.70 ,$0.00 ,$75.70 
0000084VF3,1624401904,30-Nov-22,1Z084VF30409593929,,F23,7830-00-1000,,,,Import Shipment Detail,401,WW Saver,$53.42 ,$0.00 ,$53.42 
0000084VF3,1624644438,1-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1624644438,1-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1624644438,1-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1624644438,1-Dec-22,,,,,,,,US Customs Duties,,,,,$269.44 
0000084VF3,1624644438,1-Dec-22,,,,,,,,Consignee Charges,,,,,$438.10 
0000084VF3,1624644438,1-Dec-22,,,,,,,,Discounts,,,,,($299.30)
0000084VF3,1624644438,1-Dec-22,,,,,,,,Brokerage Charges,,,,,$12.00 
0000084VF3,1624644438,1-Dec-22,1ZW978716694873499,,FATVEX2022-1233,MERCE SICURA,,,,Import Shipment Detail,951,WW Express,$719.54 ,$299.30 ,$420.24 
0000084VF3,1626183736,6-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1626183736,6-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1626183736,6-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1626183736,6-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1626183736,6-Dec-22,,,,,,,,Discounts,,,,,($291.62)
0000084VF3,1626183736,6-Dec-22,,,,,,,,Transportation Charges,,,,,$817.87 
0000084VF3,1626183736,6-Dec-22,M2417710551,,,,,,,Import Shipment Detail,951,WW Express,$420.40 ,$291.62 ,$128.78 
0000084VF3,1626183736,6-Dec-22,1ZW978710496297313,,DOCUMENTI,MERCE SICURA,,,,Import Shipment Detail,10,WW Saver,$108.30 ,$0.00 ,$108.30 
0000084VF3,1626183736,6-Dec-22,1ZF197R00493892759,,,,,,,Import Shipment Detail,1,Dom. Express Saver,$137.47 ,$0.00 ,$137.47 
0000084VF3,1626183736,6-Dec-22,1ZF197R00497906236,,,,,,,Import Shipment Detail,1,Dom. Express Saver,$88.03 ,$0.00 ,$88.03 
0000084VF3,1626183736,6-Dec-22,1ZW978716695122646,,DOCUMENTI,MERCE SICURA,,,,Import Shipment Detail,1,Dom. Express,$63.67 ,$0.00 ,$63.67 
0000084VF3,1626263088,6-Dec-22,,,,,,,,Brokerage Charges,,,,,$10.68 
0000084VF3,1626263088,6-Dec-22,,,,,,,,Government Charges,,,,,$0.45 
0000084VF3,1626263088,6-Dec-22,1Z084VF36608499337,,F23,7830-00-1000,,,,Import Shipment Detail,901,WW Express,$11.13 ,$0.00 ,$11.13 
0000084VF3,1626995154,8-Dec-22,,,,,,,,Government Charges,,,,,$19.76 
0000084VF3,1626995154,8-Dec-22,,,,,,,,Brokerage Charges,,,,,$18.22 
0000084VF3,1626995154,8-Dec-22,1Z084VF30496246551,,F23,7830-00-1000,,,,Import Shipment Detail,401,WW Saver,$20.83 ,$0.00 ,$20.83 
0000084VF3,1626995154,8-Dec-22,1Z084VF30407949147,,F23,7830-00-1000,,,,Import Shipment Detail,401,WW Saver,$17.15 ,$0.00 ,$17.15 
0000084VF3,1624079577,29-Nov-22,,,,,,,,Brokerage Charges,,,,,$7.26 
0000084VF3,1624079577,29-Nov-22,,,,,,,,Transportation Charges,,,,,$356.62 
0000084VF3,1624079577,29-Nov-22,,,,,,,,Government Charges,,,,,$19.97 
0000084VF3,1624079577,29-Nov-22,1ZA5781X0499327998,,MIL/34999,PANELS,,,,Import Shipment Detail,4,WW Saver,$134.56 ,$0.00 ,$134.56 
0000084VF3,1624079577,29-Nov-22,1ZA5781X0491543867,,MIL/35047,PANELS,,,,Import Shipment Detail,4,WW Saver,$124.99 ,$0.00 ,$124.99 
0000084VF3,1624079577,29-Nov-22,1ZA5781X0493871820,,MIL/35000,PANELS,,,,Import Shipment Detail,4,WW Saver,$124.30 ,$0.00 ,$124.30 
0000084VF3,1627177321,9-Dec-22,,,,,,,,Discounts,,,,,($74.49)
0000084VF3,1627177321,9-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1627177321,9-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1627177321,9-Dec-22,1ZW834950496213951,,,,,,,Import Shipment Detail,451,WW Saver,$147.32 ,$74.49 ,$72.83 
0000084VF3,1627177321,9-Dec-22,,,,,,,,Discounts,,,,,
0000084VF3,1627177321,9-Dec-22,,,,,,,,Consignee Charges,,,,,$147.32 
000065V624,1624745981,1-Dec-22,,,,,,,,US Customs Duties,,,,,$389.76 
000065V624,1624745981,1-Dec-22,,,,,,,,Brokerage Charges,,,,,$12.00 
000065V624,1624745981,1-Dec-22,M2420029103,,,,,,,Import Shipment Detail,451,WW Saver,$401.76 ,$0.00 ,$401.76 
